English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
That's why I like you.,అందుకే నేను నిన్ను ఇష్టపడుతున్నాను.          ,అందుకే నేను నిన్ను like చేస్తాను.,Anduke nenu ninnu istapadutunnanu.
If you don't want to come back  I'll understand.,మీరు తిరిగి రాకూడదనుకుంటే  నేను అర్థం చేసుకుంటాను.        ,"మీరు తిరిగి రావాలనిపించకపోతే, నేను understand అవుతాను.",Meeru tirigi rakapothe nenu ardham chesukuntanu.
I'm very angry with them.,నేను వారితో చాలా కోపంగా ఉన్నాను.          ,వాళ్లపై నాకు చాలా anger ఉంది.,Nenu vaaritho chaala kopamga unnanu.
I suspect Tom wasn't surprised.,టామ్ ఆశ్చర్యపోలేదని నేను అనుమానిస్తున్నాను.          ,Tom కు ఆశ్చర్యం కలగలేదని నేను suspect చేస్తున్నాను.,Tom surprise kaaledu ani nenu suspect chesanu.
I thought I'd go fishing.,నేను ఫిషింగ్ వెళ్ళాలని అనుకున్నాను.          ,నేను fishing కు వెల్దామనుకున్నాను.,Nenu fishing ki veladaniki anukunna.
I don't know the details.,నాకు వివరాలు తెలియదు.          ,నాకు details తెలియవు.,Naaku details teliyavu.
I enjoyed living there.,నేను అక్కడ నివసించడం ఆనందించాను.          ,అక్కడ ఉండడం నాకు చాలా enjoy అయ్యింది.,Nenu akkada undadam enjoy chesanu.
Tom isn't at home now.,టామ్ ఇప్పుడు ఇంట్లో లేడు.          ,Tom ఇప్పుడు ఇంట్లో లేడు.,Tom ippudu intlo ledu.
I'm not sure I share your optimism.,నేను మీ ఆశావాదాన్ని పంచుకుంటానని నాకు ఖచ్చితంగా తెలియదు.          ,మీ optimism ని నేను share చేస్తానో లేదో నాకు sure కాదు.,Nenu mee optimism share chesthanu ani sure ga ledhu.
I admire your tenacity.,నేను మీ చిత్తశుద్ధిని ఆరాధిస్తాను.          ,మీ tenacity ని నేను admire చేస్తాను.,Nenu mee tenacity ni admire chestanu.
I'm stupid.,నేను తెలివితక్కువవాడిని.          ,నేను stupid.,Nenu stupid.
It's probably cold in Boston now.,ఇది ఇప్పుడు బోస్టన్‌లో చల్లగా ఉంటుంది.          ,ఇప్పుడు Boston లో probably cold ఉంటుంది.,Ippudu Boston lo cold undochu.
I always get up at 6:30.,నేను ఎప్పుడూ 6:30 గంటలకు లేస్తాను.          ,నేను ఎప్పుడూ 6:30 కి లేస్తాను.,Nenu 6:30 ki eppudu lechestanu.
I can't believe you turned down that job.,మీరు ఆ ఉద్యోగాన్ని తిరస్కరించారని నేను నమ్మలేను.          ,మీరు ఆ job turn down చేశారని నమ్మలేకపోతున్నాను.,Meeru aa job refuse chesaru ani nenu nammalenu.
Can I speak with you?,నేను మీతో మాట్లాడగలనా?          ,మీతో మాట్లాడచ్చా?,Nenu meetho maatladacha?
There was a girl in Tom's car.,టామ్ కారులో ఒక అమ్మాయి ఉంది.          ,Tom car లో ఒక అమ్మాయి ఉంది.,Tom car lo oka ammayi undi.
Tom didn't even say thanks.,టామ్ థాంక్స్ కూడా చెప్పలేదు.          ,Tom thanks కూడా చెప్పలేదు.,Tom thanks kooda cheppaledu.
You have an hour.,మీకు గంట ఉంది.          ,మీకు ఒక hour ఉంది.,Mee daggara oka gantalu undi.
How did your date go with Tom?,టామ్‌తో మీ తేదీ ఎలా జరిగింది?          ,Tom తో మీ date ఎలా జరిగిందీ?,Tom tho mee date ela jarigindi?
There is a kite flying above the tree.,చెట్టు పైన ఎగురుతున్న గాలిపటం ఉంది.          ,చెట్టు పైన ఒక kite ఎగురుతోంది.,Chettu paina oka kite eguruthondi.
I tried to write down everything he said.,అతను చెప్పినవన్నీ రాయడానికి ప్రయత్నించాను.          ,అతను చెప్పినదంతా write down చేయడానికి try చేశాను.,Atanu cheppina anni rayadaniki try chesanu.
Weren't you at home last night?,నిన్న రాత్రి మీరు ఇంట్లో లేరా?          ,నిన్న రాత్రి మీరు ఇంట్లో లేరా?,Ninna ratri meeru intlo leru?
Tom became famous overnight.,టామ్ రాత్రిపూట ప్రసిద్ది చెందాడు.          ,Tom overnight లోనే famous అయ్యాడు.,Tom okka ratri lo famous ayyadu.
I will wait outside.,నేను బయట వేచి ఉంటాను.          ,నేను బయట wait చేస్తాను.,Nenu bayata wait chestanu.
Thank you for your help.,మీ సహయనికి ధన్యవాదలు.          ,మీ help కి thanks.,Mee sahayam ki thanks.
Neither Tom nor Mary was surprised.,టామ్ లేదా మేరీ ఇద్దరూ ఆశ్చర్యపోలేదు.          ,Tom గానీ Mary గానీ ఎవరు surprise కాలేదు.,Tom mariyu Mary iddaru surprise kaaledu.
Please tell me about your problems.,దయచేసి మీ సమస్యల గురించి చెప్పు.          ,దయచేసి మీ problems గురించి చెప్పండి.,Mee problems gurinchi cheppu.
You look incredible in that dress.,మీరు ఆ దుస్తులలో నమ్మశక్యంగా కనిపిస్తారు.          ,ఆ dress లో మీరు incredible గా కనిపిస్తున్నారు.,Meeru aa dress lo chaala baaga kanipistunnaru.
Who do you think will be able to help us?,మాకు ఎవరు సహాయం చేయగలరని మీరు అనుకుంటున్నారు?          ,మాకు help చేయగలది ఎవరో మీరు అనుకుంటున్నారు?,Evaru maaku sahayam chestaru ani meeru anukuntunnaru?
I don't understand this word.,ఈ పదం నాకు అర్థం కాలేదు.          ,ఈ word నాకు అర్థం కావడం లేదు.,Ee padam naku ardham kaaledu.
What's your last name  Tom?,టామ్  మీ చివరి పేరు ఏమిటి?        ,"Tom, మీ last name ఏమిటి?","Tom, mee last name emiti?"
Tom claimed he killed Mary in self-defense.,టామ్ తాను మేరీని ఆత్మరక్షణలో చంపానని పేర్కొన్నాడు.          ,Tom self-defense లో Mary ని చంపినట్టు claim చేశాడు.,Tom tana self-defense lo Mary ni champanu ani cheppadu.
You'll soon get accustomed to your new college life.,మీరు త్వరలో మీ కొత్త కళాశాల జీవితానికి అలవాటు పడతారు.          ,మీ కొత్త college life కి త్వరలోనే accustomed అవుతారు.,Meeru soon mee kotha college jeevitam ki alavatu padutaaru.
How did your day go?,మీ రోజు ఎలా జరిగింది?          ,మీ day ఎలా వెళ్లింది?,Mee day ela jarigindi?
I've been on sick leave.,నేను అనారోగ్య సెలవులో ఉన్నాను.          ,నేను sick leave లో ఉన్నాను.,Nenu sick leave lo unnaanu.
Tom's work has gone from bad to worse.,టామ్ యొక్క పని చెడు నుండి అధ్వాన్నంగా మారింది.          ,Tom పని bad నుంచి worse కి వెళ్లింది.,Tom work bad nunchi worst ki vellindi.
I bought these shoes last month.,నేను గత నెలలో ఈ బూట్లు కొన్నాను.          ,నేను last month ఈ shoes కొన్నాను.,Nenu last month ee shoes konnanu.
Tom is very private.,టామ్ చాలా ప్రైవేట్.          ,Tom చాలా private.,Tom chaala private.
Tom said that Mary didn't need to do that.,టామ్ మాట్లాడుతూ మేరీ అలా చేయవలసిన అవసరం లేదు.          ,Tom చెప్పాడు Mary అది చేయాల్సిన అవసరం లేదని.,Tom cheppadu Mary adi cheyyalsina avasaram ledu ani.
Tom was hit by a truck and died instantly.,టామ్ ట్రక్కును hit ీకొట్టి తక్షణమే మరణించాడు.          ,"Tom ని truck ఢీ కొట్టింది, వెంటనే చనిపోయాడు.",Tom truck tho diggi chachipoyadu.
Tell Tom to shut up.,టామ్‌ను నోరు మూయమని చెప్పండి.          ,Tom కి shut up అని చెప్పు.,Tom ni nooru mooyamani cheppu.
Valentina Tereshkova was the first woman in space.,వాలెంటినా తెరేష్కోవా అంతరిక్షంలో మొదటి మహిళ.          ,Valentina Tereshkova space లో first woman.,Valentina Tereshkova space lo first woman.
We were having fun until you came.,మీరు వచ్చేవరకు మేము ఆనందించాము.          ,మీరు వచ్చేవరకు మేము fun చేసుకుంటూ ఉన్నాం.,Meeru vachchevaraku memu enjoy chesam.
It's just a theory.,ఇది కేవలం ఒక సిద్ధాంతం.          ,ఇది just ఒక theory.,Idi just theory.
My father isn't afraid of anybody.,నాన్న ఎవరికీ భయపడరు.          ,నా నాన్న ఎవరికీ afraid కాదు.,Nanna evariki bayapadadu.
He hates his neighbor.,అతను తన పొరుగువారిని ద్వేషిస్తాడు.          ,అతను తన neighbor ని hate చేస్తాడు.,Atanu tana neighbor ni dveshistadu.
I dropped the vase and it broke.,నేను వాసే పడిపోయాను మరియు అది విరిగింది.          ,"నేను vase పడేసాను, అది break అయింది.","Nenu vase padipettanu, adi virigipoyindi."
Was his story true?,అతని కథ నిజమేనా?          ,అతని story true ఆ?,Atani story nijamaa?
I've been playing chess since I was a kid.,నేను చిన్నప్పటి నుండి చెస్ ఆడుతున్నాను.          ,నేను చిన్నప్పటి నుంచి chess ఆడుతున్నాను.,Nenu chinnappati nunchi chess aadutunnanu.
He made his will last year.,అతను గత సంవత్సరం తన సంకల్పం చేసాడు.          ,అతను last year తన will చేసాడు.,Atanu last year tana will chesadu.
Mary's boyfriend's name is Tom.,మేరీ ప్రియుడు పేరు టామ్.          ,Mary boyfriend పేరు Tom.,Mary boyfriend peru Tom.
The art teacher paints at night.,ఆర్ట్ టీచర్ రాత్రి పెయింట్స్.          ,Art teacher రాత్రి paints చేస్తుంది.,Art teacher ratri paints chestundi.
I put bait on the hook.,నేను హుక్ మీద ఎర ఉంచాను.          ,నేను hook మీద bait పెట్టాను.,Nenu hook meeda bait pettanu.
Tom was chosen captain.,టామ్ కెప్టెన్‌గా ఎంపికయ్యాడు.          ,Tom captain గా chosen అయ్యాడు.,Tom captain ga chosen ayyadu.
Don't ask what they're thinking. Ask what they're doing.,వారు ఏమి ఆలోచిస్తున్నారో అడగవద్దు.          ,"వాళ్లు ఏమి thinking చేస్తున్నారో అడగకు, వారు ఏమి doing చేస్తున్నారో అడుగు.","Valle emi thinking chesinaro adagaku, valle emi doing chesinaro adugu."
Don't you recognize Tom?,మీరు టామ్‌ను గుర్తించలేదా?          ,మీరు Tom ని గుర్తించలేదా?,Meeru Tom ni gurthinchaledaa?
They have no idea what our problems are.,మా సమస్యలు ఏమిటో వారికి తెలియదు.          ,మా problems ఏమిటో వాళ్లకు idea లేదు.,Maa problems emito vallaki idea ledu.
I'm usually not here on Mondays.,నేను సాధారణంగా సోమవారాలలో ఇక్కడ లేను.          ,నేను usually Mondays కి ఇక్కడ లేను.,Nenu usually Mondays ki ikkada lenanu.
That's how we met.,మేము ఎలా కలుసుకున్నాము.          ,అలా మేము met అయ్యాము.,Alaa memu met ayyamu.
I still don't have a plan.,నా దగ్గర ఇంకా ప్లాన్ లేదు.          ,నా దగ్గర still plan లేదు.,Naa daggara still plan ledu.
I thought that Tom was your best friend.,టామ్ మీ బెస్ట్ ఫ్రెండ్ అని నేను అనుకున్నాను.          ,Tom నీ best friend అని నేను thought చేశాను.,Tom nee best friend ani nenu thought chesanu.
Don't respond to questions marked with an X.,X తో గుర్తించబడిన ప్రశ్నలకు స్పందించవద్దు.          ,X తో mark చేసిన questions కి respond అవద్దు.,X tho mark chesina questions ki respond avvaddhu.
I feel young.,నేను యవ్వనంగా భావిస్తున్నాను.          ,నేను young గా feel అవుతున్నాను.,Nenu young ga feel avutunnanu.
Everyone was happy.,అందరూ సంతోషంగా ఉన్నారు.          ,అందరూ happy గా ఉన్నారు.,Andaru happy ga unnaru.
Could you please make room for me?,మీరు నాకు స్థలం ఇవ్వగలరా?          ,నాకు space ఇవ్వగలరా?,Naaku space ivagalaraa?
Can they see us?,వారు మమ్మల్ని చూడగలరా?          ,వాళ్లు మనల్ని చూడగలరా?,Vallu mamalini choodagalarraa?
I think you should leave Tom alone.,మీరు టామ్‌ను ఒంటరిగా వదిలేయాలని అనుకుంటున్నాను.          ,Tom ని alone వదిలేయమని నేను think చేస్తున్నాను.,Tom ni alone vadileyamani nenu think chestunnanu.
Please tell me what the rules are.,దయచేసి నియమాలు ఏమిటో నాకు చెప్పండి.          ,దయచేసి rules ఏమిటో చెప్పండి.,Dayachesi rules emito cheppandi.
When will we start taking lessons?,మేము ఎప్పుడు పాఠాలు తీసుకోవడం ప్రారంభిస్తాము?          ,మనం ఎప్పుడు lessons start చేస్తాము?,Manam eppudu lessons start chestamu?
It appears the storm has calmed down.,తుఫాను శాంతించినట్లు కనిపిస్తోంది.          ,Storm calm అయ్యిందని కనిపిస్తోంది.,Storm calm ayindani kanipistondi.
Tom called me  too.,టామ్ నన్ను కూడా పిలిచాడు.         ,Tom నన్ను కూడా call చేశాడు.,Tom nannu kooda call chesadu.
I'm giving you all I can.,నేను చేయగలిగినదంతా మీకు ఇస్తున్నాను.          ,నేను చేయగలిగినంత మీకు ఇస్తున్నాను.,Nenu cheyagaligina antha meeku istunnanu.
I am swamped with work.,నేను పనితో చిత్తడినేలలు.          ,నేను work తో swamped అయ్యాను.,Nenu work tho swamped ayyanu.
Tom said that Mary is mad.,టామ్ మేరీకి పిచ్చి అని చెప్పాడు.          ,Tom అన్నాడు Mary mad అని.,Tom annadu Mary mad ani.
Mary showed Tom her wedding ring.,మేరీ టామ్ తన పెళ్లి ఉంగరాన్ని చూపించింది.          ,Mary తన wedding ring Tom కి show చేసింది.,Mary tana wedding ring Tom ki show chesindi.
Should I call you or will you call me?,నేను నిన్ను పిలవాలా లేదా మీరు నన్ను పిలుస్తారా?          ,నేను call చేయాలా లేదా మీరు call చేస్తారా?,Nenu call cheyala ledha meeru call chestaraa?
He could not rest until he knew the truth.,అతను నిజం తెలుసుకునే వరకు విశ్రాంతి తీసుకోలేడు.          ,అతను truth తెలిసే వరకు rest తీసుకోలేకపోయాడు.,Atanu truth thelisey varaku rest teesukoledu.
Tom used to be a math teacher.,టామ్ గణిత ఉపాధ్యాయుడు.          ,Tom ఒక math teacher used to be.,Tom oka math teacher used to be.
My chest hurts when I cough.,నేను దగ్గుతున్నప్పుడు నా ఛాతీ బాధిస్తుంది.          ,నేను cough చేస్తే నా chest hurt అవుతుంది.,Nenu cough chesthe naa chest hurt avutundi.
Tom told Mary that he believed what John said.,జాన్ చెప్పినదానిని తాను నమ్ముతున్నానని టామ్ మేరీతో చెప్పాడు.          ,John చెప్పినది నమ్ముతున్నానని Tom Mary కి చెప్పాడు.,John cheppinadi nammuthunnanu ani Tom Mary ki cheppadu.
Japan is very different from what it was fifty years ago.,జపాన్ యాభై సంవత్సరాల క్రితం ఉన్నదానికి చాలా భిన్నంగా ఉంది.          ,Japan 50 years క్రితం ఉన్న దానికి చాలా different గా ఉంది.,Japan 50 years kritham unna daniki chaala different ga undi.
Tom said he was tired.,టామ్ అలసిపోయాడని చెప్పాడు.          ,Tom tired అని అన్నాడు.,Tom tired ani annadu.
Germany is one of the largest cheese producers in the world.,ప్రపంచంలో అతిపెద్ద జున్ను ఉత్పత్తి చేసే వాటిలో జర్మనీ ఒకటి.          ,World లో largest cheese producers లో Germany ఒకటి.,World lo largest cheese producers lo Germany okati.
I didn't study either of the languages.,నేను రెండు భాషలను అధ్యయనం చేయలేదు.          ,నేను రెండు languages చదవలేదు.,Nenu rendu languages chadavaleedu.
I want to buy a newspaper to read on the train.,నేను రైలులో చదవడానికి ఒక వార్తాపత్రిక కొనాలనుకుంటున్నాను.          ,Train లో చదవడానికి ఒక newspaper కొనాలనుకుంటున్నాను.,Train lo chadavadani ki oka newspaper konaalanukuntunnanu.
I forgot to buy Tom a present.,నేను టామ్‌ను బహుమతిగా కొనడం మర్చిపోయాను.          ,Tom కి gift కొనడం నేను forget చేశాను.,Tom ki gift konadam nenu forget chesanu.
I don't blame you for what happened.,ఏమి జరిగిందో నేను నిన్ను నిందించడం లేదు.          ,ఏమి జరిగిందో నేను నిన్ను blame చేయను.,Emi jarigindo nenu ninnu blame cheyanu.
Fortunately  I was on time.,అదృష్టవశాత్తూ  నేను సమయానికి వచ్చాను.        ,"Fortunately, నేను on time వచ్చాను.","Fortunately, nenu on time vachaanu."
I ducked just in time to avoid the punch aimed at me.,నన్ను లక్ష్యంగా చేసుకున్న పంచ్ నివారించడానికి నేను సమయానికి బాతు.          ,నన్ను aim చేసిన punch avoid చేయడానికి నేను time కి duck అయ్యాను.,Nannu aim chesina punch avoid cheyadaniki nenu time ki duck ayyanu.
I wanted to show Tom how good I was at skating.,నేను స్కేటింగ్‌లో ఎంత బాగున్నానో టామ్‌కు చూపించాలనుకున్నాను.          ,నేను skating లో ఎంత బాగున్నానో Tom కి show చేయాలనుకున్నాను.,Nenu skating lo entha baagunnano Tom ki show cheyalanukunnanu.
Where's the lid for this pan?,ఈ పాన్ కోసం మూత ఎక్కడ ఉంది?          ,ఈ pan కి lid ఎక్కడ ఉంది?,Ee pan ki lid ekkada undi?
Tom said he didn't see Mary.,టామ్ తాను మేరీని చూడలేదని చెప్పాడు.          ,Tom అన్నాడు Mary ని చూడలేదని.,Tom annadu Mary ni choledani.
How can you not see that?,మీరు దానిని ఎలా చూడలేరు?          ,అది మీరు ఎలా చూడలేరు?,Adi meeru ela choledhu?
I never travel alone.,నేను ఎప్పుడూ ఒంటరిగా ప్రయాణించను.          ,నేను ఎప్పుడూ alone travel చేయను.,Nenu eppudu alone travel cheyanu.
The police searched the area with a dog.,పోలీసులు కుక్కతో ఆ ప్రాంతంలో శోధించారు.          ,Police ఒక dog తో area search చేశారు.,Police oka dog tho area search chesaru.
Tom didn't eat breakfast this morning.,టామ్ ఈ ఉదయం అల్పాహారం తినలేదు.          ,ఈ morning Tom breakfast తినలేదు.,Ee morning Tom breakfast thineldu.
Everybody knows that two and two make four.,రెండు మరియు రెండు నాలుగు చేస్తాయని అందరికీ తెలుసు.          ,2+2=4 అని అందరికీ తెలుసు.,2+2=4 ani andariki thelusu.
Would you mind letting me see your passport?,మీ పాస్‌పోర్ట్ చూడటానికి నన్ను అనుమతించాలా?          ,మీ passport చూడటానికి అనుమతిస్తారా?,Mee passport choodadaniki anumathistaraa?
I know Tom is a Canadian.,టామ్ కెనడియన్ అని నాకు తెలుసు.          ,Tom Canadian అని నాకు తెలుసు.,Tom Canadian ani naaku thelusu.
A heavy frost is expected tonight.,ఈ రాత్రికి భారీ మంచు వస్తుంది.          ,ఈ రాత్రి heavy frost వస్తుంది.,Ee ratri heavy frost vasthundi.
I went home early.,నేను ముందుగా ఇంటికి వెళ్ళాను.          ,నేను early గా home వెళ్ళాను.,Nenu early ga home vellananu.
I've seen a lot of strange things in my life.,నేను నా జీవితంలో చాలా విచిత్రమైన విషయాలు చూశాను.          ,నా life లో చాలా strange things చూశాను.,Naa life lo chaala strange things choosaanu.
Tell me a little about Tom.,టామ్ గురించి కొంచెం చెప్పు.          ,Tom గురించి కొంచెం చెప్పండి.,Tom gurinchi konchem cheppandi.
Tom will be along.,టామ్ వెంట ఉంటుంది.          ,Tom వెంట వస్తాడు.,Tom ventane vastadu.
How about a song?,పాట గురించి ఎలా?          ,ఒక song ఎలా?,Oka song ela?
Tom was asking for help.,టామ్ సహాయం కోసం అడుగుతున్నాడు.          ,Tom help కోసం అడిగాడు.,Tom help kosam adigadu.
Tom and I both want to go home.,టామ్ మరియు నేను ఇద్దరూ ఇంటికి వెళ్లాలనుకుంటున్నాము.          ,Tom మరియు నేను ఇద్దరూ home కి వెళ్లాలనుకుంటున్నాము.,Tom mariyu nenu iddaru home ki vellalanukuntunnamu.
Tom claims he shot Mary in self-defense.,టామ్ తాను మేరీని ఆత్మరక్షణలో కాల్చానని పేర్కొన్నాడు.          ,Tom claim చేశాడు Mary ని self-defense లో shoot చేశానని.,Tom claim chesadu Mary ni self-defense lo shoot chesaanani.
Tom did that intentionally.,టామ్ ఉద్దేశపూర్వకంగా చేశాడు.          ,Tom అది intentionally చేశాడు.,Tom adi intentionally chesadu.
I was already tired.,అప్పటికే నేను అలసిపోయాను.          ,నేను already tired అయ్యాను.,Nenu already tired ayyanu.
The doctors amputated Tom's left leg.,వైద్యులు టామ్ యొక్క ఎడమ కాలును కత్తిరించారు.          ,Doctors Tom left leg amputate చేశారు.,Doctors Tom left leg amputate chesaru.
My house isn't far from here.,నా ఇల్లు ఇక్కడి నుండి చాలా దూరంలో లేదు.          ,నా house ఇక్కడి నుండి ఎక్కువ దూరం లేదు.,Naa house ikkadi nundi ekkuva dooram ledu.
I never wrote to Tom.,నేను ఎప్పుడూ టామ్‌కు రాయలేదు.          ,నేను ఎప్పుడూ Tom కి write చేయలేదు.,Nenu eppudu Tom ki write cheyaledu.
There are about seventy hens in the henhouse  but only one rooster.,హెన్‌హౌస్‌లో సుమారు డెబ్బై కోళ్ళు ఉన్నాయి  కానీ ఒక రూస్టర్ మాత్రమే.        ,Henhouse లో 70 hens ఉన్నాయి కానీ ఒక rooster మాత్రమే.,Henhouse lo 70 hens unnayi kani oka rooster maatrame.
Tom has a broken leg.,టామ్ విరిగిన కాలు ఉంది.          ,Tom leg break అయ్యింది.,Tom leg break ayyindi.
Tom seldom snores.,టామ్ అరుదుగా గురక.          ,Tom అరుదుగా snores చేస్తాడు.,Tom aruduga snores chestadu.
I don't know what came over me.,నా మీద ఏమి వచ్చిందో నాకు తెలియదు.          ,నాకు ఏం జరిగిందో తెలియదు.,Naaku em jarigindo teliyadu.
I consider it my duty to help my parents.,నా తల్లిదండ్రులకు సహాయం చేయడం నా కర్తవ్యంగా భావిస్తున్నాను.          ,నా parents కి help చేయడం నా duty అని consider చేస్తాను.,Naa parents ki help cheyadam naa duty ani consider chestanu.
You never know when this might come in handy.,ఇది ఎప్పుడు ఉపయోగపడుతుందో మీకు తెలియదు.          ,ఇది ఎప్పుడు useful అవుతుందో unknown.,Idi eppudu useful avutundo unknown.
Why is that so hard to believe?,ఎందుకు నమ్మడం చాలా కష్టం?          ,ఎందుకు అది believe చేయడం hard గా ఉంది?,Enduku adi believe cheyadam hard ga undi?
I can't figure out what she really wants.,ఆమె నిజంగా ఏమి కోరుకుంటుందో నేను గుర్తించలేను.          ,ఆమె ఏమి really కోరుకుంటుందో figure out చేయలేకపోతున్నాను.,Aame em really korukuntundo figure out cheyalekapothunnanu.
Tom only spoke French.,టామ్ ఫ్రెంచ్ మాత్రమే మాట్లాడాడు.          ,Tom only French మాట్లాడాడు.,Tom only French maatladadu.
He broke into a house.,అతను ఒక ఇంటిలోకి ప్రవేశించాడు.          ,అతను ఒక ఇంటిలోకి broke అయ్యాడు.,Atanu oka intilo ki broke ayyadu.
Tom was a good worker.,టామ్ మంచి పనివాడు.          ,Tom good worker.,Tom good worker.
I like this room.,నాకు ఈ గది ఇష్టం.          ,నాకు ఈ room ఇష్టం.,Naaku ee room ishtam.
Where's the light switch?,లైట్ స్విచ్ ఎక్కడ ఉంది?          ,Light switch ఎక్కడ ఉంది?,Light switch ekkada undi?
Tom doesn't let me do anything.,టామ్ నన్ను ఏమీ చేయనివ్వడు.          ,Tom నన్ను ఏం చేయనివ్వడు.,Tom nannu em cheyanivvadu.
Visit our website for additional information.,అదనపు సమాచారం కోసం మా వెబ్‌సైట్‌ను సందర్శించండి.          ,More info కోసం మా website visit చేయండి.,More info kosam maa website visit cheyandi.
There are some oranges on the tree.,చెట్టు మీద కొన్ని నారింజ ఉన్నాయి.          ,Tree మీద కొన్ని oranges ఉన్నాయి.,Tree meeda konni oranges unnayi.
Coffee will be ready in a minute.,ఒక నిమిషంలో కాఫీ సిద్ధంగా ఉంటుంది.          ,Coffee ఒక minute లో ready అవుతుంది.,Coffee oka minute lo ready avutundi.
Come and see me whenever you are free.,మీరు స్వేచ్ఛగా ఉన్నప్పుడు నన్ను వచ్చి చూడండి.          ,మీరు free గా ఉన్నప్పుడు నన్ను కలవండి.,Meeru free ga unnappudu nannu kalavandi.
I opened the drawer.,నేను డ్రాయర్ తెరిచాను.          ,నేను drawer open చేశాను.,Nenu drawer open chesanu.
I know Tom doesn't do that anymore.,టామ్ ఇకపై అలా చేయలేదని నాకు తెలుసు.          ,Tom ఇకపై అది చేయడంలేదు అని నాకు తెలుసు.,Tom ekapai adi cheyadamledu ani naaku thelusu.
They had once helped each other.,వారు ఒకరికొకరు సహాయం చేసారు.          ,వాళ్లు once ఒకరికొకరు help చేశారు.,Vallu once okarini okaru help chesaru.
I woke up three times during the night.,నేను రాత్రి సమయంలో మూడుసార్లు మేల్కొన్నాను.          ,నేను రాత్రి మూడుసార్లు wake up అయ్యాను.,Nenu ratri moodu saarlu wake up ayyanu.
Tom avoids me.,టామ్ నన్ను తప్పించాడు.          ,Tom నన్ను avoid చేస్తున్నాడు.,Tom nannu avoid chestunnadu.
I'd like to travel alone.,నేను ఒంటరిగా ప్రయాణించాలనుకుంటున్నాను.          ,నేను alone travel చేయాలనుకుంటున్నాను.,Nenu alone travel cheyalanukuntunnanu.
Tom was murdered in Boston three months ago.,టామ్ మూడు నెలల క్రితం బోస్టన్‌లో హత్య చేయబడ్డాడు.          ,Tom మూడు నెలల క్రితం Boston లో murder అయ్యాడు.,Tom 3 months kritham Boston lo murder ayyadu.
I rented a snowboard.,నేను స్నోబోర్డ్ అద్దెకు తీసుకున్నాను.          ,నేను snowboard rent చేశాను.,Nenu snowboard rent chesanu.
If I had the time  I'd do that.,నాకు సమయం ఉంటే  నేను అలా చేస్తాను.        ,నాకు time ఉంటే నేను చేస్తాను.,Naaku time unte nenu chestaanu.
I like this picture  not just because it is famous  but because it really is a masterpiece.,నేను ఈ చిత్రాన్ని ఇష్టపడుతున్నాను  ఇది ప్రసిద్ధమైనది కనుక కాదు  కానీ ఇది నిజంగా ఒక ఉత్తమ రచన.      ,"ఈ picture నాకు ఇష్టం – famous కాబట్టి కాదు, ఇది నిజంగా masterpiece కాబట్టి.","Ee picture naaku ishtam – famous kabatti kaadhu, idi nijanga masterpiece kabatti."
I'm waiting for my friend to arrive.,నా స్నేహితుడు వచ్చే వరకు నేను ఎదురు చూస్తున్నాను.          ,నా friend arrive అయ్యే వరకు నేను wait చేస్తున్నాను.,Naa friend arrive ayye varaku nenu wait chestunnanu.
You caught three birds.,మీరు మూడు పక్షులను పట్టుకున్నారు.          ,మీరు 3 birds పట్టుకున్నారు.,Meeru 3 birds pattukunnaru.
It'll be hard to convince Tom not to do that.,టామ్ అలా చేయకూడదని ఒప్పించడం కష్టం అవుతుంది.          ,Tom అలా చేయకూడదని convince చేయడం hard అవుతుంది.,Tom ala cheyakudadani convince cheyadam hard avutundi.
Finally  the delegates voted.,చివరగా  ప్రతినిధులు ఓటు వేశారు.        ,Finally delegates vote వేశారు.,Finally delegates vote vesar.
We can do better.,మేము బాగా చేయగలము.          ,మనం better చేయగలం.,Manam better cheyagalamu.
What time does class begin?,తరగతి ఏ సమయంలో ప్రారంభమవుతుంది?          ,Class ఏ time start అవుతుంది?,Class e time start avutundi?
Do you want to sell them?,మీరు వాటిని అమ్మాలనుకుంటున్నారా?          ,మీరు వాటిని sell చేయాలనుకుంటున్నారా?,Meeru vatini sell cheyalanukuntunnaraa?
Tom needs to stay where he is.,టామ్ అతను ఉన్న చోట ఉండాల్సిన అవసరం ఉంది.          ,Tom తన ఉన్న చోటే ఉండాలి.,Tom tana unna chote undaalsina avasaram undi.
I was afraid I might fall asleep while driving.,డ్రైవింగ్ చేసేటప్పుడు నేను నిద్రపోతానని భయపడ్డాను.          ,Driving చేసేటప్పుడు నేను నిద్రపోతానేమో అని భయపడ్డాను.,Driving chesthunappudu nenu sleep pothanemo ani afraid ayyanu.
You are prohibited from smoking here.,మీకు ఇక్కడ ధూమపానం నిషేధించబడింది.          ,ఇక్కడ smoking చేయడం నిషేధం.,Meeru ikkada smoking cheyyadam prohibited.
Will you take care of my dog while I am away?,నేను దూరంగా ఉన్నప్పుడు మీరు నా కుక్కను చూసుకుంటారా?          ,నేను దూరంగా ఉన్నప్పుడు నా dog ని చూసుకుంటారా?,Nenu dooranga unna appudu meeru naa dog ni look after chestara?
We knew this.,ఇది మాకు తెలుసు.          ,ఇది మాకు తెలుసు.,Idi maaku thelusu.
